key,lat,lng,email,tel,permanent_closed,transfer_to,web,ec,facebook,twitter,instagram,instagram_tag,google_maps,has_roaster,has_speciality,has_beans,has_credit,has_power,has_wifi,has_barrier_free,has_pet,has_smoking
monkey-cafe-dky,35.651615,139.701984,,0357286260,FALSE,,http://monkeycafe.jp/,,,https://twitter.com/MONKEYCafeDKY,https://www.instagram.com/monkey_cafe_d.k.y/,https://www.instagram.com/explore/tags/monkeycafedky/,https://goo.gl/maps/jChSbzLYXX52,0,0,0,1,0,0,0,0,0
monz-cafe,35.67229,139.797826,coffee@monzcafe.com,0368730835,FALSE,,http://www.monzcafe.com,,https://www.facebook.com/MONZCAFE,,https://www.instagram.com/monzcafe/,https://www.instagram.com/explore/tags/monzcafe/,https://goo.gl/maps/PLwSU9zdFaM2,0,1,0,0,0,0,0,0,0
paddlers-coffee,35.674583,139.678572,contact@paddlerscoffee.com,0357387281,FALSE,,https://paddlerscoffee.com/,https://paddlerscoffee.shop/,https://www.facebook.com/Paddlers-Coffee-132849676886888/,https://twitter.com/paddlers_coffee,https://www.instagram.com/paddlers_coffee/,https://www.instagram.com/explore/tags/paddlerscoffee/,https://goo.gl/maps/iUzQLgJE5dm,0,1,1,0,0,0,0,0,0
red-horn,30.5338194,-97.7808235,info@redhornbrew.com,5129867038,FALSE,,http://redhornbrew.com/,,https://www.facebook.com/redhornbrew,https://twitter.com/redhornbrew,https://www.instagram.com/redhornbrew/,https://www.instagram.com/explore/tags/redhorn/,https://goo.gl/maps/FmyzHdexZru,1,1,1,0,0,0,0,0,0
saredo-coffee,33.5794,130.381028,,0927911313,FALSE,,https://www.saredocoffee.com/,https://www.saredocoffee.com/shop,https://www.facebook.com/SaredoCoffee/,,https://www.instagram.com/saredocoffee/,https://www.instagram.com/explore/tags/saredocoffee/,https://goo.gl/maps/jfZhdSXprhn,1,1,1,0,2,1,0,2,2
sarutahiko-coffee,35.647707,139.710948,,0354226970,FALSE,,http://sarutahiko.co/,http://shop.sarutahiko.co/,https://www.facebook.com/sarutahiko/,https://twitter.com/sarutahikoffee,https://www.instagram.com/sarutahikocoffee/,https://www.instagram.com/explore/tags/%E7%8C%BF%E7%94%B0%E5%BD%A6%E7%8F%88%E7%90%B2/,https://goo.gl/maps/9tNGeu6uGuu,0,1,1,0,0,1,0,1,0
sols-coffee-roastery,35.701428,139.788348,,0358298824,FALSE,,http://www.sols-coffee.com/,https://solscoffee.shop-pro.jp/,https://www.facebook.com/solscoffee/,https://twitter.com/solscoffee,https://www.instagram.com/solscoffee/,https://www.instagram.com/explore/tags/solscoffeeroastery/,https://goo.gl/maps/Y4NeNNBqYD32,1,1,0,0,0,0,0,0,0
the-coffee-bean-and-tea-leaf,35.683004,139.773235,,0362621336,FALSE,,http://www.coffeebean.co.jp/index.html,,https://www.facebook.com/thecoffeebean.japan,,https://www.instagram.com/coffeebean_japan/,https://www.instagram.com/explore/tags/coffeebean_japan/,https://goo.gl/maps/9wvJR7ohZmB2,0,2,1,1,1,1,1,0,0
tokado-coffee,33.5299656,130.4815722,,0922609432,FALSE,,http://www.tokado-coffee.com/,http://tokado-coffee.shop-pro.jp/,https://www.facebook.com/tokadocoffee,https://twitter.com/tokadocoffee,https://www.instagram.com/tokado_coffee/,https://www.instagram.com/explore/tags/%E8%B1%86%E9%A6%99%E6%B4%9E%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC/,https://goo.gl/maps/adbS7eUitrt,1,1,1,2,0,2,0,0,0
tokado-coffee-nakasukawabata,33.5950094,130.4059613,,0922609432,FALSE,,http://www.tokado-coffee.com/,http://tokado-coffee.shop-pro.jp/,https://www.facebook.com/tokadocoffee,https://twitter.com/tokadocoffee,https://www.instagram.com/tokado_coffee_hakatariverain/,https://www.instagram.com/explore/tags/%E8%B1%86%E9%A6%99%E6%B4%9E%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC/,https://goo.gl/maps/QuSdTYx9Eap,0,1,1,2,0,2,0,0,0
torse,35.63768,139.684159,,0364532418,FALSE,,http://torse.jp/,https://torse.stores.jp/,https://www.facebook.com/torse-157791604319650/,https://twitter.com/torse_staff/,https://www.instagram.com/torse_cafe/,https://www.instagram.com/explore/tags/torse/,https://goo.gl/maps/zFt1q4boWbS2,0,1,0,1,0,0,0,0,1
verve-coffee-roasters-shinjuku,35.688763,139.701294,shinjuku@vervecoffeeroasters.com,0362731325,FALSE,,https://vervecoffee.jp/,https://vervecoffee.jp/,https://www.facebook.com/VerveCoffeeNEWoManShinjuku2FTokyo/,,https://www.instagram.com/vervecoffeejapan/,https://www.instagram.com/explore/tags/vervecoffee/,https://goo.gl/maps/dsGwBfgBwgq,0,1,1,1,0,0,0,0,0
your-daily-coffee,35.641856,139.644362,info@yourdaily.coffee,0364135297,FALSE,,http://yourdaily.coffee/,,https://www.facebook.com/Your-Daily-Coffee-1158126794263810,,https://www.instagram.com/yourdaily_coffee/,https://www.instagram.com/explore/tags/yourdailycoffee/,https://goo.gl/maps/YZwLJs3Ub4u,0,1,1,0,0,0,0,0,0
